author,updated_at,like_count,text,public
@ahmadsyaifuddin3553,2025-03-02T02:50:13Z,0,Ayo taruh an ga bakal an di korupsi kaya jiwassraya gw yakin ntar pasti ada berita nya seperti jiwasraya..😂😂,True
@lenyselvianti4031,2025-03-02T02:49:21Z,0,Semoga ada transparansi😢,True
@andrihermansyah7,2025-03-02T02:47:54Z,0,"Itulah yang ditakutkan. Eksekusi amburadul, apalagi pemerintah saat ini cenderung punya ide ide dan program yang sangat bagus. Namun sayang eksekusinya itu cenderung amburadul sehingga hasilnya menyimpang jauh dari apa yang direncanakan di awal.

Itu pula lah penyebab kenapa banyak yang skeptis dengan lembaga ini. Padahal kalau dilihat berapa menakjubkannya program ini untuk membangun negeri",True
@agussupriadi6083,2025-03-02T02:43:54Z,0,DANANTARA ITU LEMBAGA NEGARA BUKAN KOH....TERUS PARA PENGELOLANYA KREDIBLE TIDAK..?,True
@Bonsai-q4f,2025-03-02T02:41:49Z,0,Jk berkaca dari SDM penguasa negeri ini sih sgt pesimis.,True
@crispypaper986,2025-03-02T02:40:41Z,0,Calon project mega korupsi,True
@aththariqkuddayan1200,2025-03-02T02:39:58Z,0,Pejabatnya mikir nanti milih mau makan apa? Sedangkan rakyatnya mikir nanti  yang akan dimakan apa?.....😢,True
@bimasanto1095,2025-03-02T02:36:27Z,0,ASET=14.000T HUTANG=7.000T,True
@aryalawamanuaba,2025-03-02T02:36:08Z,0,Saya hanya yakin Danantara ini akan dikorupsi. Titik.,True
@rfajri92,2025-03-02T02:35:46Z,0,"Mimpi : Danantara
Kenyataan: Jiwasraya, Asabri, Food estate, IKN, Hambalang wkwk

Gak usah buta buta banget hai warga",True
@Erfakan,2025-03-02T02:34:19Z,0,Penasehat Jokowi dan SBY kelanjutannya hancur,True
@PetualangSantuy,2025-03-02T02:27:08Z,0,Serius berantas korupsi dulu laaah tuh di circle2 jokowi . . Dan Serius bikin hukuman yg sangat berefek jera.. dapatkan trust dari rakyat utk kelola dana BESARR .. barulah please go with DANANTARA,True
@v.srihermayastuti5517,2025-03-02T02:25:29Z,0,Jangan2 hanya angka2 tpi fisik nya zonk jadi bagaimana  gaees klu nurut oma2 opa2   utie akung yg nyimak pocast ini serrreeem kan,True
@sipetualang9825,2025-03-02T02:25:03Z,0,Selama ada jokowinya tidak akan berhasil indonesia....,True
